METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,54335,"{""coordinates"": [-123.10855799318952, 49.268415004361934], ""type"": ""Point""}",Mount Pleasant,B30141,"49.268415004361934, -123.10855799318952"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50066,"{""coordinates"": [-123.10838206583799, 49.26829904150441], ""type"": ""Point""}",Mount Pleasant,B30142,"49.26829904150441, -123.10838206583799"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50048,"{""coordinates"": [-123.10378109719507, 49.26833118678893], ""type"": ""Point""}",Mount Pleasant,A30019,"49.26833118678893, -123.10378109719507"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50081,"{""coordinates"": [-123.10133601946043, 49.26828798530169], ""type"": ""Point""}",Mount Pleasant,A30117,"49.26828798530169, -123.10133601946043"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50757,"{""coordinates"": [-123.10220799166092, 49.268188000219475], ""type"": ""Point""}",Mount Pleasant,A30134,"49.268188000219475, -123.10220799166092"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,54285,"{""coordinates"": [-123.10106899576913, 49.26737502656449], ""type"": ""Point""}",Mount Pleasant,A40115,"49.26737502656449, -123.10106899576913"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59839,"{""coordinates"": [-123.11741987926905, 49.26799407044302], ""type"": ""Point""}",Fairview,MY0506,"49.26799407044302, -123.11741987926905"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59809,"{""coordinates"": [-123.0611056274229, 49.28125386255753], ""type"": ""Point""}",Grandview-Woodland,072115,"49.28125386255753, -123.0611056274229"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59828,"{""coordinates"": [-123.06084555133712, 49.28108309143481], ""type"": ""Point""}",Grandview-Woodland,072124,"49.28108309143481, -123.06084555133712"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59825,"{""coordinates"": [-123.05887661693116, 49.281075116256694], ""type"": ""Point""}",Grandview-Woodland,072224,"49.281075116256694, -123.05887661693116"
